detail_item_id,detail_item,sub_type_id,sub_type,major_type_id,major_type,row_count
DT0001,작업 전 준비,SB001,타워크레인(T형),MJ001,가설공사,2
DT0002,자재 반입 및 하역,SB001,타워크레인(T형),MJ001,가설공사,2
DT0003,기초 및 앙카 설치,SB001,타워크레인(T형),MJ001,가설공사,3
DT0004,보조 크레인 양중,SB001,타워크레인(T형),MJ001,가설공사,4
DT0005,Basic Mast 설치,SB001,타워크레인(T형),MJ001,가설공사,3
DT0006,Turn Table 설치,SB001,타워크레인(T형),MJ001,가설공사,2
DT0007,COUNTER JIB/FRONT JIB 설치,SB001,타워크레인(T형),MJ001,가설공사,4
DT0008,후크설치 및 와이어링,SB001,타워크레인(T형),MJ001,가설공사,3
DT0009,코핑게이지와 턴테이블 연결,SB001,타워크레인(T형),MJ001,가설공사,1
DT0010,유압실린더 작동 마스트 상승/연결,SB001,타워크레인(T형),MJ001,가설공사,4
DT0011,타워크레인 사용,SB001,타워크레인(T형),MJ001,가설공사,12
DT0012,타워크레인 해체,SB001,타워크레인(T형),MJ001,가설공사,3
DT0013,작업 전 준비,SB002,타워크레인(L형),MJ001,가설공사,2
DT0014,자재 반입 및 하역,SB002,타워크레인(L형),MJ001,가설공사,2
DT0015,기초 및 앙카 설치,SB002,타워크레인(L형),MJ001,가설공사,3
DT0016,보조 크레인 양중,SB002,타워크레인(L형),MJ001,가설공사,4
DT0017,Basic Mast 설치,SB002,타워크레인(L형),MJ001,가설공사,2
DT0018,Turn Table 설치,SB002,타워크레인(L형),MJ001,가설공사,2
DT0019,COUNTER JIB/FRONT JIB 설치,SB002,타워크레인(L형),MJ001,가설공사,4
DT0020,후크설치 및 와이어링,SB002,타워크레인(L형),MJ001,가설공사,3
DT0021,코핑게이지와 턴테이블 연결,SB002,타워크레인(L형),MJ001,가설공사,1
DT0022,유압실린더 작동 마스트 상승/연결,SB002,타워크레인(L형),MJ001,가설공사,4
DT0023,타워크레인 사용,SB002,타워크레인(L형),MJ001,가설공사,12
DT0024,타워크레인 해체,SB002,타워크레인(L형),MJ001,가설공사,3
DT0025,크레인 운반,SB003,대형크레인,MJ001,가설공사,3
DT0026,크레인 하역,SB003,대형크레인,MJ001,가설공사,3
DT0027,크레인 본체 궤도 하역 및 조립,SB003,대형크레인,MJ001,가설공사,2
DT0028,크레인 Weight 설치,SB003,대형크레인,MJ001,가설공사,3
DT0029,크레인 붐대 조립,SB003,대형크레인,MJ001,가설공사,4
DT0030,크레인 Back Stage 연결,SB003,대형크레인,MJ001,가설공사,2
DT0031,크레인 후크 및 W/R 설치,SB003,대형크레인,MJ001,가설공사,3
DT0032,작업 전 준비,SB004,건설작업용 리프트,MJ001,가설공사,2
DT0033,기초 콘크리트 설치,SB004,건설작업용 리프트,MJ001,가설공사,5
DT0034,설치용 장비 확인,SB004,건설작업용 리프트,MJ001,가설공사,4
DT0035,자재 반입 및 하역,SB004,건설작업용 리프트,MJ001,가설공사,5
DT0036,기초 프레임 설치,SB004,건설작업용 리프트,MJ001,가설공사,3
DT0037,베이직 마스트 설치,SB004,건설작업용 리프트,MJ001,가설공사,5
DT0038,적재함 설치,SB004,건설작업용 리프트,MJ001,가설공사,7
DT0039,마스트 및 벽지지대 설치,SB004,건설작업용 리프트,MJ001,가설공사,10
DT0040,설치완료 및 사용,SB004,건설작업용 리프트,MJ001,가설공사,11
DT0041,사전준비,SB005,낙하물방지망 설치,MJ001,가설공사,3
DT0042,자재운반 및 분배,SB005,낙하물방지망 설치,MJ001,가설공사,2
DT0043,수평브라켓 설치,SB005,낙하물방지망 설치,MJ001,가설공사,3
DT0044,사다리거치용 브라켓 설치,SB005,낙하물방지망 설치,MJ001,가설공사,2
DT0045,"수평브라켓, 와이어 설치",SB005,낙하물방지망 설치,MJ001,가설공사,3
DT0046,사다리 거치,SB005,낙하물방지망 설치,MJ001,가설공사,2
DT0047,안전망 펼치기,SB005,낙하물방지망 설치,MJ001,가설공사,2
DT0048,측벽 낙하물 방지망 설치,SB005,낙하물방지망 설치,MJ001,가설공사,2
DT0049,"낙하물방지망 인장, 결속",SB005,낙하물방지망 설치,MJ001,가설공사,2
DT0050,사전준비,SB006,낙하물방지망 해체,MJ001,가설공사,2
DT0051,낙하물방지망 해체,SB006,낙하물방지망 해체,MJ001,가설공사,4
DT0052,사다리 틀 상부 인양,SB006,낙하물방지망 해체,MJ001,가설공사,2
DT0053,사다리 제거,SB006,낙하물방지망 해체,MJ001,가설공사,1
DT0054,강관 파이프 제거,SB006,낙하물방지망 해체,MJ001,가설공사,1
DT0055,클립콘 해체,SB006,낙하물방지망 해체,MJ001,가설공사,2
DT0056,자재정리,SB006,낙하물방지망 해체,MJ001,가설공사,2
DT0057,사전준비,SB007,방호선반 설치,MJ001,가설공사,3
DT0058,자재운반 및 분배,SB007,방호선반 설치,MJ001,가설공사,3
DT0059,브라켓 및 고정대 설치,SB007,방호선반 설치,MJ001,가설공사,3
DT0060,방호선반 설치,SB007,방호선반 설치,MJ001,가설공사,2
DT0061,방호선반 설치 및 고정,SB007,방호선반 설치,MJ001,가설공사,2
DT0062,마무리 작업 및 자재정리,SB007,방호선반 설치,MJ001,가설공사,1
DT0063,베이직 마스트 설치,SB007,방호선반 설치,MJ001,가설공사,1
DT0064,발판선 해체,SB008,방호선반 해체,MJ001,가설공사,1
DT0065,와이어 결속,SB008,방호선반 해체,MJ001,가설공사,1
DT0066,방호선반 해체,SB008,방호선반 해체,MJ001,가설공사,2
DT0067,방호선반 양중,SB008,방호선반 해체,MJ001,가설공사,2
DT0068,브라켓 해체,SB008,방호선반 해체,MJ001,가설공사,1
DT0069,자재 정리정돈,SB008,방호선반 해체,MJ001,가설공사,2
DT0070,자재 반입 및 준비,SB009,수직보호망,MJ001,가설공사,2
DT0071,설치작업,SB009,수직보호망,MJ001,가설공사,2
DT0072,해체 및 반출,SB009,수직보호망,MJ001,가설공사,1
DT0073,작업준비,SB010,수직보호망(갱폼),MJ001,가설공사,3
DT0074,설치작업,SB010,수직보호망(갱폼),MJ001,가설공사,3
DT0075,해체작업,SB010,수직보호망(갱폼),MJ001,가설공사,2
DT0076,자재 반입 및 준비,SB011,수직보호망(계단연창),MJ001,가설공사,2
DT0077,계단연창 수직망 작업준비,SB011,수직보호망(계단연창),MJ001,가설공사,2
DT0078,계단연창 수직망 설치,SB011,수직보호망(계단연창),MJ001,가설공사,4
DT0079,해체 및 반출,SB011,수직보호망(계단연창),MJ001,가설공사,2
DT0080,자재반입 및 작업준비,SB012,안전난간대 설치,MJ001,가설공사,4
DT0081,안전난간대 설치,SB012,안전난간대 설치,MJ001,가설공사,6
DT0082,종료 및 정리정돈 작업,SB012,안전난간대 설치,MJ001,가설공사,2
DT0083,안전난간대 해체,SB013,안전난간대 해체,MJ001,가설공사,4
DT0084,종료 및 정리정돈 작업,SB013,안전난간대 해체,MJ001,가설공사,2
