# [검증 필요-가상코드] 모든 erp_code 는 실 ERP 코드가 아닌 PoC 가상 코드다. 운영 전환 전 ERP 마스터 추출로 교체 필수.
jha_sub_type_id,erp_sub_code,sub_type_norm,jha_major_type_id,erp_major_code,major_type_norm,row_count,map_status,note
SB001,HBC-SB-001,타워크레인(T형),MJ001,HBC-MJ-001,가설공사,43,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB002,HBC-SB-002,타워크레인(L형),MJ001,HBC-MJ-001,가설공사,42,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB003,HBC-SB-003,대형크레인,MJ001,HBC-MJ-001,가설공사,20,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB004,HBC-SB-004,건설작업용 리프트,MJ001,HBC-MJ-001,가설공사,52,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB005,HBC-SB-005,낙하물방지망 설치,MJ001,HBC-MJ-001,가설공사,21,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB006,HBC-SB-006,낙하물방지망 해체,MJ001,HBC-MJ-001,가설공사,14,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB007,HBC-SB-007,방호선반 설치,MJ001,HBC-MJ-001,가설공사,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB008,HBC-SB-008,방호선반 해체,MJ001,HBC-MJ-001,가설공사,9,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB009,HBC-SB-009,수직보호망,MJ001,HBC-MJ-001,가설공사,5,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB010,HBC-SB-010,수직보호망(갱폼),MJ001,HBC-MJ-001,가설공사,8,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB011,HBC-SB-011,수직보호망(계단연창),MJ001,HBC-MJ-001,가설공사,10,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB012,HBC-SB-012,안전난간대 설치,MJ001,HBC-MJ-001,가설공사,12,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB013,HBC-SB-013,안전난간대 해체,MJ001,HBC-MJ-001,가설공사,6,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB014,HBC-SB-014,추락방지망 설치,MJ001,HBC-MJ-001,가설공사,11,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB015,HBC-SB-015,추락방지망 해체,MJ001,HBC-MJ-001,가설공사,7,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB016,HBC-SB-016,엘리베이터 개구부,MJ001,HBC-MJ-001,가설공사,28,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB017,HBC-SB-017,엘리베이터 철근절단,MJ001,HBC-MJ-001,가설공사,21,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB018,HBC-SB-018,시스템 동바리,MJ001,HBC-MJ-001,가설공사,22,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB019,HBC-SB-019,시스템 비계,MJ001,HBC-MJ-001,가설공사,22,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB020,HBC-SB-020,비계 설치,MJ001,HBC-MJ-001,가설공사,27,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB021,HBC-SB-021,비계 해체,MJ001,HBC-MJ-001,가설공사,14,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB022,HBC-SB-022,가교,MJ001,HBC-MJ-001,가설공사,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB023,HBC-SB-023,가설펜스,MJ001,HBC-MJ-001,가설공사,16,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB024,HBC-SB-024,가설사무실 설치,MJ001,HBC-MJ-001,가설공사,27,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB025,HBC-SB-025,가설분전함 설치,MJ001,HBC-MJ-001,가설공사,19,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB026,HBC-SB-026,가설방음벽,MJ001,HBC-MJ-001,가설공사,23,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB027,HBC-SB-027,가설용수,MJ001,HBC-MJ-001,가설공사,15,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB028,HBC-SB-028,항타기 조립/해체,MJ002,HBC-MJ-002,파일공사,18,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
SB029,HBC-SB-029,강관파일 항타,MJ002,HBC-MJ-002,파일공사,23,PENDING_VERIFY,표기흔들림 정규화 필요(예: 타워크레인(T형))
